name,sic,cityba,afs,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockValue,IncomeTaxExpenseBenefit,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,StockholdersEquity
novartis ag,2834,basel,1,124015000000.0,,,,,,,69887000000.0,,,,,,,,,,
nve corp /new/,3674,eden prairie,4,72100389.0,33578636.0,8868823.0,-1558517.0,0.01,48332.0,818976.0,2545040.0,72100389.0,1996181.0,-4833232.0,-25679.0,3300394.0,3579566.0,4108822.0,299394.0,49150698.0,69555349.0
phi group inc,8741,las vegas,4,489318.0,484318.0,151549.0,-73831.0,0.001,13472021.0,,7804914.0,489318.0,7804914.0,65834.0,,-139665.0,-336264.0,-312022.0,,-44346616.0,-7315596.0
universal stainless & alloy products inc,3312,bridgeville,2,310444000.0,148430000.0,158000.0,-6000.0,0.001,9000.0,-993000.0,91067000.0,310444000.0,33134000.0,2774000.0,-4483000.0,1703000.0,-2493000.0,-2987000.0,161009000.0,124418000.0,219377000.0
"triumph bancorp, inc.",6022,dallas,1,6015877000.0,,444439000.0,130046000.0,0.01,282000.0,7204000.0,5223489000.0,6015877000.0,,-14891000.0,87433000.0,57504000.0,61905000.0,,106720000.0,349885000.0,792388000.0
slm corp,6141,newark,1,28925175000.0,,4497310000.0,51556000.0,0.2,86302000.0,53174000.0,26621797000.0,28925175000.0,,-2555701000.0,2787190000.0,-179933000.0,781408000.0,,153969000.0,2480672000.0,
"charmt, inc.",7370,miami,4,505.0,505.0,505.0,,0.001,3871.0,-3596.0,30266.0,505.0,30266.0,21200.0,,-22127.0,-11575.0,-17127.0,,-54486.0,-29761.0
american electric power co inc,4911,columbus,1,11483800000.0,4605800000.0,5800000.0,,15.0,260400000.0,61200000.0,9131900000.0,13646700000.0,1103100000.0,18500000.0,-356200000.0,-280600000.0,,63300000.0,10152700000.0,1007700000.0,2900300000.0
american airlines group inc.,4512,fort worth,1,72464000000.0,22647000000.0,,66000000.0,0.01,6000000.0,-333000000.0,,72464000000.0,21521000000.0,7458000000.0,-11036000000.0,3644000000.0,19000000.0,-874000000.0,,-7876000000.0,-7667000000.0
equifax inc,7320,atlanta,1,9340300000.0,1329500000.0,458100000.0,-1226500000.0,1.25,236600000.0,126800000.0,5841700000.0,9340300000.0,1875200000.0,-680300000.0,-1095600000.0,551100000.0,416700000.0,612600000.0,1215600000.0,4505700000.0,3460500000.0
dmc global inc.,3390,broomfield,2,434346000.0,297376000.0,36363000.0,8176000.0,0.05,965000.0,88000.0,88309000.0,434346000.0,59210000.0,134775000.0,-121433000.0,-6021000.0,1724000.0,1958000.0,105589000.0,117813000.0,346037000.0
